United States,N####*
Midway Islands,N####*
Nauru,C2-@@*
Micronesia,V6-@@@
Papua New Guinea,P2-@@@
Mexico,XA-@@@
Canada,C-G@@@
Greenland,OY-@@@
Iceland,TF-@@@
Philippines,RP-C####
Antigua and Barbuda,V2-@@@
Puerto Rico,N####*
Virgin Islands,N####*
Virgin Islands. U.S.,N####*
Cyprus,5B-@@@
Algeria,7T-@@@
Benin,TY-@@@
Burkina Faso,XT-@@@
Togo,5V@@@
Ghana,9G-@@@
Cote d'Ivoire,TU-@@@
Nigeria,5N-@@@
Tunisia,TS-@@@
Belgium,OO-@@@
Netherlands,PH-@@@
France,F-@@@@
Germany,D-A@@@
Czech Republic,OK-@@@
Austria,OE-@@@
Switzerland,HB-@@@
Estonia,ES-@@@
Finland,OH-@@@
United Kingdom,G-@@@@
Falkland Islands (Islas Malvinas),VP-F@@
Ireland,EI-@@@
Denmark,OY-@@@
Sweden,SE-@@@
Luxembourg,LX-@@@
Norway,LN-@@@
Poland,SP-@@@
Latvia,YL-@@@
Lithuania,LY-@@@
South Africa,ZU-@@@
Namibia,V5-@@@
Mozambique,C9-@@@
Lesotho,7P-@@@
Botswana,A2-@@@
Congo (DRC),TN-@@@
Congo,TN-@@@
Swaziland,3D-@@@
Central African Republic,TL-@@@
Equatorial Guinea,3C-@@@
Cameroon,TJ-@@@
Ascension Island,VQ-H@@
Mauritius,3B-@@@
Zambia,9J-@@@
Comoros,D6-@@@
Reunion,F-@@@@
Mayotte,F-@@@@
Madagascar,5R-@@@
Angola,D2-@@@
Gabon,TR-@@@
Sao Tome and Principe,S9-@@@
Seychelles,S7-@@@
Chad,TT-@@@
Zimbabwe,Z-@@@
Malawi,7Q-@@@
Rwanda,9XR-@@@
Mali,TZ-@@@
Gambia. The,C5-@@@
Spain,EC-@@@
Sierra Leone,9L-@@@
Honduras,HR-@@@
Liberia,EL-@@@
Morocco,CN-@@@
Mauritania,5T-@@@
Senegal,6W-@@@
Guinea,3X-@@@
Cape Verde,D4-@@@
Greece,SX-@@@
Egypt,SU-@@@
Ethiopia,ET-@@@
Burundi,9U-@@@
Somalia,60-@@@
Djibouti,J2-@@@
Israel,4X-@@@
Gaza Strip,4X-@@@
Jordan,JY-@@@
Eritrea,E3-@@@
Kenya,5Y-@@@
Uganda,5X-@@@
Libya,5A-@@@
Sudan,ST-@@@
Tanzania,5H-@@@
Bulgaria,LZ-@@@
Albania,ZA-@@@@
Croatia,9A-@@@
Serbia and Montenegro,YU-@@@
Slovenia,S5-@@@
Saint Pierre and Miquelon,F-@@@@
St. Pierre and Miquelon,F-@@@@
Hungary,HA-@@@
Italy,I-@@@@
Malta,9H-@@@
Portugal,CS-@@@
Bosnia and Herzegovina,T9-@@@
Romania,YR-@@@
Turkey,TC-@@@
Moldova,ER-@@@
Macedonia. Former Yugoslav Republic of,Z3-@@@
Gibraltar,VR-G@@
Slovakia,OM-@@@
Turks and Caicos Islands,VQ-T@@
Dominican Republic,HI###@@
Guatemala,TG-@@@
El Salvador,YS-##@
Jamaica,6Y-@@@
Nicaragua,YN-@@@
Panama,HP###
Costa Rica,TI-###
Haiti,HH-@@@
Cuba,CU-C###
Cayman Islands,VR-C@@
Bahamas. The,C6-@@@
Belize,V3-@@@
Marshall Islands,V7-@@@
Cook Islands,ZL-@@@
Fiji Islands,DQ-@@@
Tonga,A3-@@@
